,Date,StartupName,CityLocation,InvestorsName,InvestmentType,AmountInUSD
81,03/05/2017,Sumeru,Bangalore,undisclosed investors,Seed Funding,"1,000,000"
82,05/05/2017,Balance App,Bangalore,Rainmatter,Seed Funding,"233,000"
83,08/05/2017,YepMe,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"700,000"
84,08/05/2017,MyGreens,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"1,000,000"
85,08/05/2017,Ace Turtle,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"5,000,000"
86,08/05/2017,CureFit,Bangalore,"RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"3,000,000"
87,09/05/2017,Curie Labs,New Delhi,Satoshi Studios,Seed Funding,"50,000"
88,10/05/2017,Vidooly,Noida,"Times Internet, GVFL",Private Equity,"1,400,000"
89,10/05/2017,Shopclues,Gurgaon,InnoVen Capital,Private Equity,"7,700,000"
90,10/05/2017,Fourth Ambit,Bangalore,1Crowd,Seed Funding,"600,000"
91,11/05/2017,Early Salary,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"4,000,000"
92,12/05/2017,Legal Raasta,New Delhi,Impanix Capital,Private Equity,"5,000,000"
93,12/05/2017,Remit Guru,Mumbai,"Infibeam, CCavenue",Private Equity,"466,000"
94,12/05/2017,Aequm,Bangalore,undisclosed investors,Seed Funding,"1,000,000"
95,15/05/2017,Zapty,Bangalore,IdeaSpring Capital,Seed Funding,"500,000"
96,16/05/2017,Telr,Mumbai,Innovations East,Private Equity,"3,000,000"
97,16/05/2017,Fynd,Mumbai,Rocketship,Private Equity,"500,000"
98,17/05/2017,Genie,Chennai,undisclosed investors,Seed Funding,"250,000"
99,17/05/2017,Paysense,Mumbai,Jungle Ventures,Private Equity,"5,300,000"
100,18/05/2017,The Good Life,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,"1,000,000"
101,18/05/2017,Paytm,Bangalore,SoftBank Group,Private Equity,"1,400,000,000"
102,19/05/2017,EzCred,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"1,000,000"
103,22/05/2017,Delhivery,New Delhi,Fosun International,Private Equity,"30,000,000"
104,22/05/2017,ZipGrid,Mumbai,"JLL, 1Crowd",Seed Funding,"500,000"
105,23/05/2017,Magicpin,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"6,600,000"
106,23/05/2017,Box8,Mumbai,Trifecta Capital,Private Equity,"1,000,000"
107,24/05/2017,GenNext Students,Mumbai,Undisclosed Investors,Seed Funding,"580,000"
108,25/05/2017,Aye Finance,Gurgaon,Blue Orchard,Private Equity,"8,000,000"
109,29/05/2017,Collateral Medical,Mumbai,Carpediem Capital,Private Equity,"3,500,000"
110,30/05/2017,Supr Daily,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"1,500,000"
111,30/05/2017,Swiggy,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"80,000,000"
112,31/05/2017,SastaSundar,Kolkata,Rohto Pharmaceutical,Private Equity,"5,000,000"
113,31/05/2017,Magicpin,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"7,000,000"
114,01/04/2017,Cashe,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"3,800,000"
115,03/04/2017,Eruditus,Mumbai,Bertelsmann India,Private Equity,"8,200,000"
116,03/04/2017,Healthcare at Home,Noida,Quadria Capital Advisors,Private Equity,"40,000,000"
117,04/04/2017,WayCool,Chennai,Aspada Investments,Private Equity,"2,700,000"
118,04/04/2017,Perfios,Bangalore,Bessemer Venture Partners,Private Equity,"6,100,000"
119,04/04/2017,Whatfix,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,"3,690,000"
120,04/04/2017,ElastiRun,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"7,000,000"
121,04/04/2017,Trukky,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,"500,000"
122,04/04/2017,Konsult App,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,"500,000"
123,05/04/2017,Fingerlix,Mumbai,Zephyr Peacock India,Private Equity,"3,000,000"
124,06/04/2017,Medwell Ventures,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"21,000,000"
125,06/04/2017,Mech Mocha,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,"5,000,000"
126,07/04/2017,PharmEasy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"18,000,000"
127,08/04/2017,FastFox,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,"4,600,000"
128,10/04/2017,Omnify,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,"150,000"
129,10/04/2017,Capital Float,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,"2,300,000"
130,11/04/2017,Ninjacart,Bangalore,"Accel Partners, Nandan Nilekani’s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,"5,500,000"
131,11/04/2017,MergerWare,Bangalore,Philippe Bouchet,Seed Funding,"100,000"
132,12/04/2017,Clovia,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,"4,000,000"
133,12/04/2017,Emiza,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,"4,500,000"
134,12/04/2017,HackerEarth,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,"4,500,000"
135,12/04/2017,Squadrun,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,"2,100,000"
136,13/04/2017,WeAreHolidays,Gurgaon,"Urrshila Kerkar,",Private Equity,"7,700,000"
137,14/04/2017,Ola Cabs,Bangalore,SIMI Pacific Pte,Private Equity,"260,000,000"
138,15/04/2017,Myly,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,"310,000"
139,17/04/2017,CrediHealth,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,"1,500,000"
140,17/04/2017,Snackible,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,"175,000"
141,17/04/2017,Be U Salons,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,"620,000"
142,17/04/2017,LendingKart,Ahmedabad,Anicut Capital,Private Equity,"4,650,000"
143,18/04/2017,Innefu Security Consulting,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,"2,000,000"
144,18/04/2017,Whodat,Bangalore,Ideaspring Capital,Private Equity,"600,000"
145,18/04/2017,Absentia VR,Bangalore,Exfinity Venture Partners,Private Equity,"1,250,000"
146,19/04/2017,IOTrek,New Delhi,Undisclosed Investor,Seed Funding,"155,000"
147,20/04/2017,HolaChef,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,"3,000,000"
148,21/04/2017,Video Ken,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,"1,000,000"
149,24/04/2017,Faasos,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,"6,300,000"
150,24/04/2017,Oyo Rooms,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,"250,000,000"
151,24/04/2017,Toppr,Mumbai,WGG International,Private Equity,"3,200,000"
152,25/04/2017,The Office Pass,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,"245,000"
153,25/04/2017,UrbanClap,Gurgaon,Trifecta Capital,Private Equity,"3,100,000"
154,26/04/2017,Awfis,Mumbai,Sequoia India,Private Equity,"20,000,000"
155,26/04/2017,Flytxt,Mumbai,DAH Beteiligungs GmbH,Private Equity,"11,000,000"
156,26/04/2017,Howdy Ventures,Chennai,S. Xavier Britto,Seed Funding,"1,500,000"
157,26/04/2017,StalkBuyLove,New Delhi,Trifecta Capital,Private Equity,"1,000,000"
158,27/04/2017,Scootsy,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,"3,600,000"
159,27/04/2017,iNurture,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,"1,500,000"
160,28/04/2017,Sepalika,New Delhi,Accel Partners,Seed Funding,"750,000"
161,01/03/2017,Ola,Bangalore,SoftBank Group Corp,Private Equity,"330,000,000"
162,01/03/2017,Belong,Bangalore,Sequoia Capital India,Private Equity,"10,000,000"
163,02/03/2017,Celes Care,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"1,500,000"
164,02/03/2017,Karomi,Chennai,Ideaspring Capital,Seed Funding,"500,000"
165,02/03/2017,Red Carpet,Gurgaon,Lightspeed Venture Partners,Private Equity,"2,500,000"
166,02/03/2017,CreditMantri,Chennai,Quona Capital,Private Equity,"7,600,000"
167,03/03/2017,Tydy,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,"275,000"
168,03/03/2017,Oho Shop,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"6,700,000"
169,03/03/2017,Paytm Marketplace,Bangalore,Alibaba,Private Equity,"200,000,000"
170,04/03/2017,iGenetics,Mumbai,CDC Group Plc,Private Equity,"19,500,000"
171,06/03/2017,Juno Clinic,Mumbai,Atul Nishar,Seed Funding,"1,200,000"
172,06/03/2017,Summerlabel,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,"150,000"
173,06/03/2017,PickMe,Mumbai,SIDBI Venture Capital Fund,Private Equity,"1,790,000"
174,07/03/2017,Agrostar,Pune,Accel Partners,Private Equity,"10,000,000"
175,07/03/2017,Zapr,Bangalore,Star India Pvt Ltd,Private Equity,"10,000,000"
176,07/03/2017,Data Resolve,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,"1,000,000"
177,07/03/2017,Book Servicing,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,"30,000"
178,07/03/2017,Blowhorn,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,"3,650,000"
179,08/03/2017,Rivigo,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,"15,000,000"
180,08/03/2017,PipeCandy,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,"1,100,000"
181,08/03/2017,Supr Daily,Mumbai,Y Combinator,Seed Funding,"120,000"
182,09/03/2017,AppBrowzer,Bangalore,Deepak Gurnani,Seed Funding,"500,000"
183,09/03/2017,MagicBricks,Mumbai,Times Internet Ltd,Private Equity,"4,500,000"
184,10/03/2017,PeeBuddy,New Delhi,Indian Angel Network,Seed Funding,"443,000"
185,10/03/2017,Lavelle Networks,Bangalore,Ideaspring Capital,Seed Funding,"600,000"
186,15/03/2017,LatestOne,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,"3,350,000"
187,15/03/2017,Frapperz,Kolkata,Undisclosed Investor,Seed Funding,"100,000"
188,16/03/2017,mPaani,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,"1,350,000"
189,16/03/2017,POPxo,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,"3,100,000"
190,16/03/2017,Fitso,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,"200,000"
191,21/03/2017,Flipkart,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,"1,400,000,000"
192,21/03/2017,Airpay,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,"3,670,000"
193,21/03/2017,MyGlamm,Mumbai,L’Occitane,Private Equity,"5,300,000"
194,22/03/2017,Haqdarshak,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,"191,000"
195,23/03/2017,Ixigo,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,"15,000,000"
196,23/03/2017,Markets and Markets,Pune,"FTV Capital, Zodius Capital",Private Equity,"56,000,000"
197,24/03/2017,Bizom,Bangalore,Ojas Ventures,Seed Funding,"382,000"
198,24/03/2017,Delhivery,New Delhi,"Carlyle Group, Tiger Global",Private Equity,"100,000,000"
199,28/03/2017,Fynd,Mumbai,Venture Catalysts,Private Equity,"500,000"
200,28/03/2017,DoneThing,Gurgaon,Brand Capital,Private Equity,"300,000"
201,29/03/2017,Ithaka,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,"325,000"
202,29/03/2017,perpule,Bangalore,KStart Capital,Seed Funding,"650,000"
203,29/03/2017,Licious,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,"10,000,000"
204,29/03/2017,Medinfi,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,"50,000"
205,31/03/2017,Jhakaas,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,"155,000"
206,31/03/2017,Oriano Solar,Mumbai,Samridhi Fund,Private Equity,"3,000,000"
207,31/03/2017,BigBasket,Bangalore,Trifecta Capital,Private Equity,"7,000,000"
208,31/03/2017,Icertis,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,  Eight Roads Ventures",Private Equity,"25,000,000"
209,06/02/2017,Capital Float,Bangalore,IFMR Capital Finance,Private Equity,"2,500,000"
210,07/02/2017,Inner Hour,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,"450,000"
211,07/02/2017,Travel Triangle,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,"10,000,000"
212,08/02/2017,Wandertrails,Bangalore,Earlsfield Capital,Seed Funding,"1,000,000"
213,08/02/2017,Zenatix,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,"1,200,000"
214,08/02/2017,Cartrade,Mumbai,Temasek Holdings,Private Equity,"55,000,000"
215,08/02/2017,Edurev,Gurgaon,Facebook FB Start programme,Seed Funding,"40,000"
216,09/02/2017,Voonik,Bangalore,"RB Investments, Sequoia Capital",Private Equity,"6,000,000"
217,09/02/2017,Wooplr,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,"8,000,000"
218,10/02/2017,48East,Bangalore,Al Dhaheri family,Private Equity,"500,000"
219,13/02/2017,Sigtuple,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,"5,800,000"
220,13/02/2017,Flutura,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,"7,500,000"
221,13/02/2017,Wassup,Chennai,Anil Jain & other HNIs,Private Equity,"3,200,000"
222,13/02/2017,Better Mortgage,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,"15,000,000"
223,13/02/2017,Nurturey,New Delhi,Mohit Joshi & Others,Seed Funding,"330,000"
224,13/02/2017,Fyle,Bangalore,Pravega Ventures,Seed Funding,"400,000"
225,14/02/2017,GoBumpr,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,"300,000"
226,14/02/2017,CCAvenue,Mumbai,Infibeam,Private Equity,"22,400,000"
227,15/02/2017,ZestMoney,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,"6,500,000"
228,15/02/2017,AirZaar,Missourie,Quake Capital,Seed Funding,"350,000"
229,16/02/2017,Truebil,Mumbai,Shunwei Capital,Private Equity,"3,000,000"
230,16/02/2017,YourStory,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,"3,000,000"
231,17/02/2017,Imaginate,Hyderabad,SRI Capital,Seed Funding,"500,000"
232,17/02/2017,The Ken,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,"400,000"
233,17/02/2017,Urban Ladder,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,"15,200,000"
234,17/02/2017,Leopetra,Mumbai,Facebook FBStart,Seed Funding,"40,000"
235,18/02/2017,Blood n Care,Gurgaon,Facebook FBStart,Seed Funding,"40,000"
236,20/02/2017,Flipkart,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,"38,700,000"
237,21/02/2017,True Balance,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,"15,000,000"
238,22/02/2017,Vebbler,Bangalore,Facebook FBStart,Seed Funding,"40,000"
239,23/02/2017,Get My Parking,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,"1,100,000"
240,27/02/2017,Biryani By Kilo,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,"375,000"
241,27/02/2017,Johari Shop,Bangalore,Undisclosed Investors,Seed Funding,"94,000"
242,28/02/2017,NeoStencil,New Delhi,"Brand Capital, Paragon Trust",Private Equity,"1,000,000"
243,28/02/2017,Blackbuck,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,"70,000,000"
244,02/01/2017,TaxSutra,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"366,000"
245,03/01/2017,TempoGo,Panaji,K2 Capital,Seed Funding,"825,000"
246,06/01/2017,Leap India,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"13,000,000"
247,07/01/2017,FreeCharge,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,"57,000,000"
248,09/01/2017,TicketNew,Chennai,Alibaba Pictures,Private Equity,"35,000,000"
